Model,Mean Accuracy,Std Deviation
Random Forest,0.8268798781648581,0.04078940598457808
XGBoost,0.8133257186369693,0.04195873894993715
Logistic Regression (LASSO),0.7781267846944603,0.062480776159409675
Decision Tree,0.7744146202170189,0.0477586265029813
Logistic Regression (PCA),0.6692747001713307,0.058805894680220155
